,Year,Avg Participation (K),Avg Benefit PP (USD),Total Benefits (MUSD),All Other Costs (MUSD),Total Costs (MUSD),Population,Pct Participation
20,1989,18806.4634167,51.71,11669.78,1231.81,12901.59,246819000,0.0761953634716128
21,1990,20048.9775833,58.78,14142.79,1304.47,15447.26,249623000,0.08031702841204535
22,1991,22624.627,63.78,17315.77,1431.5,18747.27,252981000,0.0894321194081769
23,1992,25406.9854167,68.57,20905.68,1556.66,22462.34,256514000,0.09904716864069799
24,1993,26986.7745,67.95,22006.03,1646.94,23652.97,259919000,0.10382763283946153
25,1994,27473.6963333,69.0,22748.58,1744.87,24493.45,263126000,0.10441270088588736
26,1995,26618.772833299998,71.27,22764.07,1856.3,24620.37,266278000,0.09996609871375028
27,1996,25542.531166700002,73.21,22440.11,1890.88,24330.99,269394000,0.09481477377632762
28,1997,22858.1365,71.27,19548.86,1958.68,21507.55,272657000,0.08383476859204055
29,1998,19790.9845,71.12,16890.49,2097.84,18988.32,275854000,0.0717444173367071
30,1999,18182.537916700003,72.27,15769.4,2051.52,17820.92,279040000,0.06516104471294439
31,2000,17194.334333299998,72.62,14983.32,2070.7,17054.02,282162411,0.060937721195258705
32,2001,17318.4580833,74.81,15547.39,2242.0,17789.39,284968955,0.06077313959796076
33,2002,19095.6366667,79.67,18256.2,2380.82,20637.02,287625193,0.06639069570898125
34,2003,21249.625833299997,83.94,21404.28,2412.01,23816.28,290107933,0.0732473104528996
35,2004,23810.742,86.16,24618.89,2480.14,27099.03,292805298,0.0813193687499466
36,2005,25628.4560833,92.89,28567.88,2504.13,31072.01,295516599,0.08672425227558875
37,2006,26548.833166700002,94.75,30187.35,2715.72,32903.06,298379912,0.08897661035136978
38,2007,26316.044583299998,96.18,30373.27,2800.25,33173.52,301231207,0.08736161450662712
39,2008,28222.63025,102.19,34608.4,3031.25,37639.64,304093966,0.092808912393875
40,2009,33489.9745,125.31,50359.92,3260.0,53619.92,306771529,0.10916910904075455
41,2010,40301.878,133.79,64702.16,3581.3,68283.47,309378227,0.13026733778521524
42,2011,44708.726083300004,133.85,71810.92,3875.62,75686.54,311839461,0.1433709702419605
43,2012,46609.0715,133.41,74619.34,3791.75,78411.1,314339099,0.14827640483883933
44,2013,47636.0898333,133.07,76066.32,3792.71,79859.03,316726282,0.15040144295098315
45,2014,46663.8724167,125.01,69998.84,4061.49,74060.33,319257560,0.14616371940166428
46,2015,45766.6716667,126.81,69645.14,4301.62,73946.76,321815121,0.14221417416461296
47,2016,44219.65575,125.4,66539.27,4372.87,70912.14,324353340,0.1363317416432339
48,2017,42316.55025,125.47,63711.05,4463.98,68175.03,326608609,0.1295634869502169
49,2018,40775.7053333,124.5,60916.85,4531.82,65448.67,328529577,0.12411578192029876
50,2019,35702.4721667,129.83,55622.28,4760.41,60382.69,330226227,0.1081151927000032
51,2020,39852.7780833,155.06,74156.68,5006.0,79162.68,331577720,0.12019136292782277
52,2021,41603.7119167,216.19,107931.5,5186.06,113117.56,332099760,0.12527474249514664
53,2022,41208.251,230.34,113902.49,5554.34,119456.83,334017321,0.12337159904351187
54,2023,42176.9461667,211.41,106997.59,6067.7,113065.29,336806231,0.12522614573214352
55,2024,41706.038,187.15,93662.37,6621.86,100284.23,340110988,0.12262478858812995
