Indicator,Unemployment rate by Total
Source,"Bureau of Labor Statistics<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"Estimates represent the percent of the civilian labor force (age 16 and older) that was unemployed. A person is considered unemployed if they do not have a job, have actively looked for work in the prior 4 weeks, and are currently available for work. State refers to place of residence. N/A indicates that the estimates are not available because they did not meet the Bureau of Labor Statistics' publication standard of reliability or were otherwise unavailable."
Description,Annual average rate of unemployment.


Fips,Location,TimeFrame,Data Type,Data,MOE
US,United States,2008,Percent,0.058,N/A
US,United States,2009,Percent,0.093,N/A
US,United States,2010,Percent,0.096,N/A
US,United States,2011,Percent,0.089,N/A
US,United States,2012,Percent,0.081,N/A
US,United States,2013,Percent,0.074,N/A
US,United States,2014,Percent,0.062,N/A
US,United States,2015,Percent,0.053,N/A
US,United States,2006,Percent,0.046,N/A
US,United States,2007,Percent,0.046,N/A
US,United States,2016,Percent,0.049,N/A
US,United States,2017,Percent,0.044,N/A
US,United States,2018,Percent,0.039,N/A
US,United States,2020,Percent,0.081,N/A
US,United States,2021,Percent,0.053,N/A
US,United States,2022,Percent,0.036,N/A
US,United States,2023,Percent,0.036,N/A
US,United States,2019,Percent,0.037,N/A
US,United States,2024,Percent,0.04,N/A
01,Alabama,2024,Percent,0.031,N/A
01,Alabama,2023,Percent,0.025,N/A
01,Alabama,2022,Percent,0.026,N/A
01,Alabama,2021,Percent,0.034,N/A
01,Alabama,2018,Percent,0.039,N/A
01,Alabama,2019,Percent,0.03,N/A
01,Alabama,2020,Percent,0.059,N/A
01,Alabama,2017,Percent,0.044,N/A
01,Alabama,2016,Percent,0.06,N/A
01,Alabama,2006,Percent,0.035,N/A
01,Alabama,2007,Percent,0.034,N/A
01,Alabama,2015,Percent,0.061,N/A
01,Alabama,2013,Percent,0.072,N/A
01,Alabama,2014,Percent,0.068,N/A
01,Alabama,2011,Percent,0.087,N/A
01,Alabama,2012,Percent,0.073,N/A
01,Alabama,2009,Percent,0.098,N/A
01,Alabama,2010,Percent,0.093,N/A
01,Alabama,2008,Percent,0.05,N/A
02,Alaska,2008,Percent,0.064,N/A
02,Alaska,2010,Percent,0.08,N/A
02,Alaska,2012,Percent,0.07,N/A
02,Alaska,2011,Percent,0.076,N/A
02,Alaska,2009,Percent,0.077,N/A
02,Alaska,2014,Percent,0.068,N/A
02,Alaska,2013,Percent,0.069,N/A
02,Alaska,2006,Percent,0.065,N/A
02,Alaska,2015,Percent,0.065,N/A
02,Alaska,2016,Percent,0.066,N/A
02,Alaska,2017,Percent,0.072,N/A
02,Alaska,2020,Percent,0.078,N/A
02,Alaska,2019,Percent,0.061,N/A
02,Alaska,2018,Percent,0.066,N/A
02,Alaska,2021,Percent,0.064,N/A
02,Alaska,2022,Percent,0.04,N/A
02,Alaska,2023,Percent,0.042,N/A
02,Alaska,2024,Percent,0.046,N/A
02,Alaska,2007,Percent,0.061,N/A
04,Arizona,2007,Percent,0.037,N/A
04,Arizona,2024,Percent,0.036,N/A
04,Arizona,2023,Percent,0.039,N/A
04,Arizona,2022,Percent,0.038,N/A
