State,Year,SNAP All Persons Public Assistance Participation,SNAP All Persons Non-Public Assistance Participation,Calc: SNAP Total PA and Non-PA People,SNAP All Households Public Assistance Participation,SNAP All Households Non-Public Assistance Participation,Calc: SNAP Total PA and Non-PA Households,SNAP All Total Actual PA & Non-PA Issuance
AK,2003,16822.0,32238.0,49060.0,5807.0,11460.0,17267.0,5353336.0
AL,2003,141486.0,325431.0,466917.0,42149.0,140916.0,183065.0,38067860.0
AR,2003,20002.0,287000.0,307002.0,6539.0,116221.0,122760.0,25060629.0
AZ,2003,126010.0,314202.0,440212.0,40330.0,131206.0,171536.0,38507652.0
CA,2003,873855.0,804375.0,1678230.0,313493.0,332853.0,646346.0,143360353.0
CO,2003,48280.0,150895.0,199175.0,24151.0,62745.0,86896.0,15057408.0
CT,2003,68463.0,109387.0,177850.0,40935.0,51904.0,92839.0,13333347.0
DC,2003,28891.0,51350.0,80241.0,12625.0,25634.0,38259.0,6933520.0
FL,2003,237218.0,797559.0,1034777.0,149590.0,349660.0,499250.0,79717208.0
GA,2003,267035.0,495325.0,762360.0,110869.0,197247.0,308116.0,62037329.0
GU,2003,9879.0,14631.0,24510.0,3329.0,4003.0,7332.0,3689153.0
HI,2003,62321.0,37534.0,99855.0,29227.0,19408.0,48635.0,12869388.0
IA,2003,65197.0,83822.0,149019.0,28325.0,36703.0,65028.0,11966610.0
ID,2003,5681.0,74487.0,80168.0,4762.0,27069.0,31831.0,6287401.0
IL,2003,150358.0,749187.0,899545.0,66452.0,326167.0,392619.0,81850509.0
IN,2003,193492.0,264995.0,458487.0,81664.0,109579.0,191243.0,38973138.0
KS,2003,68761.0,87468.0,156229.0,32755.0,36405.0,69160.0,11266088.0
KY,2003,30481.0,455571.0,486052.0,11645.0,192184.0,203829.0,39286150.0
LA,2003,81578.0,557000.0,638578.0,50746.0,193217.0,243963.0,54303988.0
MA,2003,157636.0,126859.0,284495.0,80580.0,52687.0,133267.0,20309755.0
MD,2003,90214.0,159921.0,250135.0,51206.0,63154.0,114360.0,20326221.0
ME,2003,31323.0,99188.0,130511.0,11028.0,53845.0,64873.0,10518946.0
MI,2003,274937.0,543204.0,818141.0,128276.0,229049.0,357325.0,61645913.0
MN,2003,151795.0,78157.0,229952.0,72728.0,35476.0,108204.0,18489825.0
MO,2003,150655.0,412940.0,563595.0,53248.0,187285.0,240533.0,45094115.0
MS,2003,55123.0,273019.0,328142.0,16807.0,103133.0,119940.0,26248904.0
MT,2003,19190.0,50730.0,69920.0,9192.0,20385.0,29577.0,5563345.0
NC,2003,141643.0,486051.0,627694.0,75475.0,191810.0,267285.0,50474258.0
ND,2003,31461.0,7041.0,38502.0,12616.0,4283.0,16899.0,2939825.0
NE,2003,40779.0,56313.0,97092.0,17840.0,23649.0,41489.0,7191448.0
NH,2003,40543.0,3656.0,44199.0,18871.0,3113.0,21984.0,3243169.0
NJ,2003,216125.0,115561.0,331686.0,105014.0,49393.0,154407.0,27194670.0
NM,2003,19536.0,172191.0,191727.0,6899.0,66617.0,73516.0,14901991.0
NV,2003,14277.0,93086.0,107363.0,4650.0,42787.0,47437.0,9302653.0
NY,2003,850015.0,543499.0,1393514.0,481959.0,222300.0,704259.0,133386327.0
OH,2003,111101.0,707551.0,818652.0,38797.0,312901.0,351698.0,57848456.0
OK,2003,101070.0,276041.0,377111.0,40760.0,111058.0,151818.0,29767867.0
OR,2003,103179.0,290283.0,393462.0,63903.0,132820.0,196723.0,31623618.0
PA,2003,322638.0,474314.0,796952.0,174701.0,189905.0,364606.0,62969399.0
RI,2003,42404.0,29000.0,71404.0,19437.0,13864.0,33301.0,5460727.0
SC,2003,66792.0,374516.0,441308.0,41239.0,139453.0,180692.0,35986770.0
SD,2003,2072.0,45978.0,48050.0,676.0,18144.0,18820.0,3965094.0
TN,2003,185472.0,532920.0,718392.0,86331.0,223875.0,310206.0,58467784.0
TX,2003,210759.0,1578777.0,1789536.0,64387.0,626939.0,691326.0,148951402.0
UT,2003,5911.0,95554.0,101465.0,4455.0,35411.0,39866.0,8231941.0
VA,2003,94773.0,287730.0,382503.0,55923.0,114340.0,170263.0,28450823.0
VI,2003,2188.0,10382.0,12570.0,981.0,3307.0,4288.0,1521800.0
VT,2003,16067.0,25593.0,41660.0,8551.0,12004.0,20555.0,3083191.0
WA,2003,173330.0,222844.0,396174.0,94628.0,94013.0,188641.0,32410601.0
WI,2003,28821.0,261817.0,290638.0,18619.0,98334.0,116953.0,19092456.0
WV,2003,158283.0,309175.0,467458.0,49604.0,149673.0,199277.0,34020360.0
WY,2003,791.0,24832.0,25623.0,271.0,10008.0,10279.0,1996342.0
AK,2017,13203.0,72328.0,85531.0,6489.0,30665.0,37154.0,15212596.0
AL,2017,115550.0,699544.0,815094.0,67519.0,314390.0,381909.0,98260286.0
AR,2017,10024.0,383325.0,393349.0,3023.0,169912.0,172935.0,43601174.0
AZ,2017,25246.0,906845.0,932091.0,7365.0,410316.0,417681.0,112772184.0
CA,2017,658672.0,3507225.0,4165897.0,256205.0,1750337.0,2006542.0,567518484.0
CO,2017,55046.0,413590.0,468636.0,30993.0,194259.0,225252.0,60337521.0
CT,2017,66739.0,351363.0,418102.0,51463.0,187657.0,239120.0,54636941.0
DC,2017,25271.0,102357.0,127628.0,9375.0,64726.0,74101.0,17494780.0
DE,2017,149325.0,300.0,149625.0,72594.0,111.0,72705.0,17715512.0
FL,2017,352927.0,2879755.0,3232682.0,296281.0,1420350.0,1716631.0,393688228.0
GA,2017,266763.0,1389471.0,1656234.0,124500.0,640772.0,765272.0,208868023.0
GU,2017,3134.0,42068.0,45202.0,1322.0,13796.0,15118.0,8545427.0
HI,2017,29598.0,141603.0,171201.0,20254.0,65498.0,85752.0,30849906.0
IA,2017,49935.0,320171.0,370106.0,30913.0,144120.0,175033.0,40478775.0
ID,2017,13509.0,163173.0,176682.0,12639.0,63854.0,76493.0,20022276.0
IL,2017,94794.0,1772976.0,1867770.0,42073.0,931132.0,973205.0,245189582.0
IN,2017,100274.0,549096.0,649370.0,72518.0,215814.0,288332.0,77833407.0
KS,2017,50956.0,187429.0,238385.0,27779.0,82394.0,110173.0,26710935.0
KY,2017,13389.0,644863.0,658252.0,4635.0,306433.0,311068.0,79244890.0
LA,2017,79809.0,841712.0,921521.0,70861.0,355285.0,426146.0,117283887.0
MA,2017,194871.0,571778.0,766649.0,146040.0,299394.0,445434.0,104928538.0
MD,2017,111139.0,584981.0,696120.0,80997.0,284300.0,365297.0,83212487.0
ME,2017,180071.0,7987.0,188058.0,91605.0,4152.0,95757.0,19705469.0
MI,2017,233787.0,1165503.0,1399290.0,206817.0,532321.0,739138.0,168143950.0
MN,2017,206691.0,250080.0,456771.0,110735.0,112922.0,223657.0,50734689.0
MO,2017,189108.0,576194.0,765302.0,88932.0,265210.0,354142.0,0.0
MS,2017,14465.0,529017.0,543482.0,4623.0,242347.0,246970.0,62611541.0
MT,2017,18959.0,103151.0,122110.0,15544.0,42356.0,57900.0,14438825.0
NC,2017,1208726.0,262136.0,1470862.0,641401.0,144909.0,786310.0,170097957.0
ND,2017,53358.0,503.0,53861.0,25082.0,194.0,25276.0,6455573.0
NE,2017,37490.0,141036.0,178526.0,16828.0,63304.0,80132.0,20310501.0
NH,2017,91638.0,2174.0,93812.0,44804.0,1670.0,46474.0,9471240.0
NJ,2017,232443.0,599308.0,831751.0,131042.0,282781.0,413823.0,93738475.0
NM,2017,36874.0,423675.0,460549.0,13878.0,202455.0,216333.0,55172978.0
NV,2017,39502.0,403013.0,442515.0,28390.0,197185.0,225575.0,51854434.0
NY,2017,1001351.0,1942997.0,2944348.0,665866.0,959901.0,1625767.0,399903117.0
OH,2017,232345.0,1300462.0,1532807.0,193156.0,568218.0,761374.0,189704520.0
OK,2017,6778.0,601988.0,608766.0,2214.0,272936.0,275150.0,73635649.0
OR,2017,675785.0,18188.0,693973.0,381409.0,12658.0,394067.0,85088970.0
PA,2017,235843.0,1613579.0,1849422.0,177692.0,773833.0,951525.0,223163107.0
SC,2017,62405.0,670805.0,733210.0,52103.0,291422.0,343525.0,89342294.0
SD,2017,1046.0,94004.0,95050.0,332.0,41650.0,41982.0,11915389.0
TN,2017,120315.0,936582.0,1056897.0,87835.0,429673.0,517508.0,131117682.0
TX,2017,28611.0,3797733.0,3826344.0,9412.0,1611968.0,1621380.0,447958690.0
UT,2017,10613.0,199697.0,210310.0,3819.0,80282.0,84101.0,24357420.0
VA,2017,99999.0,693581.0,793580.0,70921.0,304329.0,375250.0,93223344.0
VI,2017,2104.0,25238.0,27342.0,1316.0,11688.0,13004.0,4653619.0
VT,2017,30950.0,47928.0,78878.0,17965.0,25137.0,43102.0,0.0
WA,2017,176165.0,767604.0,943769.0,133145.0,392692.0,525837.0,115454227.0
WI,2017,107125.0,595686.0,702811.0,56077.0,292417.0,348494.0,74684976.0
WV,2017,89368.0,254472.0,343840.0,33450.0,139828.0,173278.0,40395180.0
WY,2017,1364.0,32813.0,34177.0,425.0,14126.0,14551.0,4041668.0
AK,2016,12360.0,67789.0,80149.0,6175.0,27451.0,33626.0,14148470.0
AL,2016,118749.0,751233.0,869982.0,64914.0,347211.0,412125.0,107869799.0
AR,2016,12150.0,431791.0,443941.0,3744.0,199271.0,203015.0,50730459.0
AZ,2016,29620.0,935613.0,965233.0,8663.0,421398.0,430061.0,116819027.0
CA,2016,696105.0,3688386.0,4384491.0,279033.0,1828558.0,2107591.0,609454036.0
CO,2016,55590.0,424622.0,480212.0,31413.0,195821.0,227234.0,61606056.0
