,Year,Unemployment,Gini,State,Avg Participation (K),Avg Benefit PP (USD),Total Benefits (MUSD),All Other Costs (MUSD),Total Costs (MUSD),cpi_mult,Population,Pct Participation
30,2006,0.057,0.54,US,26548.833166700002,151.4778025793651,48260.82790178572,4341.649583333334,52602.46149801587,1.5987103174603177,298379912,0.08897661035136978
8,2006,0.046,0.46,US,26548.833166700002,151.4778025793651,48260.82790178572,4341.649583333334,52602.46149801587,1.5987103174603177,298379912,0.08897661035136978
24,2007,0.055,0.54,US,26316.044583299998,149.53600578871203,47222.88915098891,4353.69307766522,51576.58222865412,1.5547515677761699,301231207,0.08736161450662712
9,2007,0.046,0.47,US,26316.044583299998,149.53600578871203,47222.88915098891,4353.69307766522,51576.58222865412,1.5547515677761699,301231207,0.08736161450662712
0,2008,0.058,0.47,US,28222.63025,152.97648397584766,51808.11574547144,4537.723525313516,56345.824300975386,1.496980956804459,304093966,0.092808912393875
37,2008,0.066,0.54,US,28222.63025,152.97648397584766,51808.11574547144,4537.723525313516,56345.824300975386,1.496980956804459,304093966,0.092808912393875
1,2009,0.093,0.47,US,33489.9745,188.2863076923077,75669.008,4898.358974358975,80567.36697435897,1.5025641025641026,306771529,0.10916910904075455
35,2009,0.097,0.53,US,33489.9745,188.2863076923077,75669.008,4898.358974358975,80567.36697435897,1.5025641025641026,306771529,0.10916910904075455
36,2010,0.1,0.53,US,40301.878,197.70984410820725,95614.4253461715,5292.3108207244395,100906.75094452087,1.4777624942686842,309378227,0.13026733778521524
2,2010,0.096,0.47,US,40301.878,197.70984410820725,95614.4253461715,5292.3108207244395,100906.75094452087,1.4777624942686842,309378227,0.13026733778521524
3,2011,0.089,0.48,US,44708.726083300004,191.81794130724765,102910.89157847932,5554.078817252112,108464.97039573142,1.4330813694975544,311839461,0.1433709702419605
33,2011,0.101,0.53,US,44708.726083300004,191.81794130724765,102910.89157847932,5554.078817252112,108464.97039573142,1.4330813694975544,311839461,0.1433709702419605
4,2012,0.081,0.48,US,46609.0715,187.27370644599304,104746.57352787457,5322.652547909408,110069.24011324043,1.4037456445993033,314339099,0.14827640483883933
34,2012,0.089,0.53,US,46609.0715,187.27370644599304,104746.57352787457,5322.652547909408,110069.24011324043,1.4037456445993033,314339099,0.14827640483883933
5,2013,0.074,0.48,US,47636.0898333,184.07064806866953,105219.63491845495,5246.310871244636,110465.94578969957,1.3832618025751073,316726282,0.15040144295098315
31,2013,0.085,0.53,US,47636.0898333,184.07064806866953,105219.63491845495,5246.310871244636,110465.94578969957,1.3832618025751073,316726282,0.15040144295098315
32,2014,0.078,0.52,US,46663.8724167,170.21851711026616,95313.16490071821,5530.284017743979,100843.44891846219,1.3616392057456697,319257560,0.14616371940166428
6,2014,0.062,0.49,US,46663.8724167,170.21851711026616,95313.16490071821,5530.284017743979,100843.44891846219,1.3616392057456697,319257560,0.14616371940166428
7,2015,0.053,0.4817,US,45766.6716667,172.45089873417723,94711.51317299578,5849.840194092827,100561.35336708861,1.359915611814346,321815121,0.14221417416461296
29,2015,0.069,0.5354,US,45766.6716667,172.45089873417723,94711.51317299578,5849.840194092827,100561.35336708861,1.359915611814346,321815121,0.14221417416461296
10,2016,0.049,0.4824,US,44219.65575,168.40175000000002,89356.69467083334,5872.400004166667,95229.094675,1.3429166666666668,324353340,0.1363317416432339
28,2016,0.06,0.542,US,44219.65575,168.40175000000002,89356.69467083334,5872.400004166667,95229.094675,1.3429166666666668,324353340,0.1363317416432339
11,2017,0.044,0.4822,US,42316.55025,164.98972256221953,83778.34114647083,5870.01531619747,89648.35646266831,1.3149734802121584,326608609,0.1295634869502169
27,2017,0.061,0.5281,US,42316.55025,164.98972256221953,83778.34114647083,5870.01531619747,89648.35646266831,1.3149734802121584,326608609,0.1295634869502169
12,2018,0.039,0.4845,US,40775.7053333,159.80227001194746,78189.96716447631,5816.828299482278,84006.7954639586,1.283552369573875,328529577,0.12411578192029876
23,2018,0.056,0.5243,US,40775.7053333,159.80227001194746,78189.96716447631,5816.828299482278,84006.7954639586,1.283552369573875,328529577,0.12411578192029876
17,2019,0.037,0.4811,US,35702.4721667,163.6457137270239,70109.74127493156,6000.313425889714,76110.05470082127,1.2604614782948769,330226227,0.1081151927000032
25,2019,0.055,0.5115,US,35702.4721667,163.6457137270239,70109.74127493156,6000.313425889714,76110.05470082127,1.2604614782948769,330226227,0.1081151927000032
13,2020,0.081,,US,39852.7780833,193.1060200927357,92352.00140649149,6234.288253477589,98586.28965996907,1.2453632148377125,331577720,0.12019136292782277
26,2020,0.08,,US,39852.7780833,193.1060200927357,92352.00140649149,6234.288253477589,98586.28965996907,1.2453632148377125,331577720,0.12019136292782277
22,2021,0.066,0.5305,US,41603.7119167,257.11452767527675,128362.81346863469,6167.77541697417,134530.58888560886,1.1892988929889299,332099760,0.12527474249514664
14,2021,0.053,0.4848,US,41603.7119167,257.11452767527675,128362.81346863469,6167.77541697417,134530.58888560886,1.1892988929889299,332099760,0.12527474249514664
21,2022,0.047,0.5111,US,41208.251,253.63369320122993,125421.1565664503,6116.036153057738,131537.19271950802,1.101127434233003,334017321,0.12337159904351187
15,2022,0.036,0.4863,US,41208.251,253.63369320122993,125421.1565664503,6116.036153057738,131537.19271950802,1.101127434233003,334017321,0.12337159904351187
16,2023,0.036,0.4828,US,42176.9461667,223.6214079422383,113177.95620938629,6418.180866425993,119596.13707581228,1.0577617328519857,336806231,0.12522614573214352
20,2023,0.049,0.5163,US,42176.9461667,223.6214079422383,113177.95620938629,6418.180866425993,119596.13707581228,1.0577617328519857,336806231,0.12522614573214352
19,2024,0.052,0.5244,US,41706.038,192.28066624163213,96230.09834555307,6803.396487089575,103033.49483264264,1.027414727446605,340110988,0.12262478858812995
18,2024,0.04,0.4809,US,41706.038,192.28066624163213,96230.09834555307,6803.396487089575,103033.49483264264,1.027414727446605,340110988,0.12262478858812995
