,State,Year,SNAP Individuals,SNAP Households,Total SNAP Issuance,cpi_mult,Population,Pct Participation,Location,Unemployment Rate,Gini
0,AK,2006,58054.0,21446.0,11656545.443452382,1.5987103174603177,675302.0,0.08596746344598416,Alaska,0.065,0.42
1,AK,2007,56194.0,21418.0,11207107.952243127,1.5547515677761699,680300.0,0.08260179332647362,Alaska,0.061,0.41
2,AK,2008,56031.0,21578.0,11558481.878773805,1.496980956804459,687455.0,0.0815049712344808,Alaska,0.064,0.4
3,AK,2009,61202.0,23708.0,14241810.430769231,1.5025641025641026,698895.0,0.0875696635403029,Alaska,0.077,0.4
4,AK,2010,75215.0,29815.0,19419377.42503439,1.4777624942686842,713982.0,0.10534579303119687,Alaska,0.08,0.42
5,AK,2011,84709.0,34395.0,20797153.41885282,1.4330813694975544,722349.0,0.11726879943074608,Alaska,0.076,0.41
6,AK,2012,92220.0,38170.0,21807910.1141115,1.4037456445993033,730810.0,0.12618874946976644,Alaska,0.07,0.42
7,AK,2013,92451.0,38700.0,22262102.023175966,1.3832618025751073,737626.0,0.12533587482003075,Alaska,0.069,0.41
8,AK,2014,88041.0,37342.0,19578924.35614702,1.3616392057456697,737075.0,0.1194464606722518,Alaska,0.068,0.42
9,AK,2015,79734.0,33649.0,19134819.088185657,1.359915611814346,738430.0,0.10797773654916512,Alaska,0.065,0.4322
10,AK,2016,80149.0,33626.0,19000216.170833334,1.3429166666666668,742575.0,0.10793387873278794,Alaska,0.066,0.4081
11,AK,2017,85531.0,37154.0,20004160.30518156,1.3149734802121584,740983.0,0.11542909891320044,Alaska,0.072,0.4241
12,AK,2018,95057.0,42141.0,20289855.482676227,1.283552369573875,736624.0,0.12904412563261583,Alaska,0.066,0.4322
13,AK,2019,86305.0,38796.0,32988501.601486117,1.2604614782948769,733603.0,0.11764537495075675,Alaska,0.061,0.4376
14,AK,2020,79830.0,35508.0,16993329.76816074,1.2453632148377125,733017.0,0.10890606902704848,Alaska,0.078,
15,AK,2021,72892.0,33063.0,22023656.920664206,1.1892988929889299,734420.0,0.09925110971923423,Alaska,0.064,0.4392
16,AK,2022,94429.0,43481.0,35052144.467714384,1.101127434233003,734442.0,0.12857244002930115,Alaska,0.04,0.4278
17,AK,2023,32531.0,15933.0,18196466.711191338,1.0577617328519857,736510.0,0.04416912193996008,Alaska,0.042,0.4492
18,AK,2024,59034.0,26833.0,27580494.24099458,1.027414727446605,740133.0,0.07976134019156017,Alaska,0.046,0.4395
19,AL,2006,539944.0,217718.0,76484680.46825399,1.5987103174603177,4628981.0,0.11664424632548719,Alabama,0.035,0.47
20,AL,2007,545774.0,221074.0,77477227.46502653,1.5547515677761699,4672840.0,0.1167970655960829,Alabama,0.034,0.47
21,AL,2008,564325.0,227917.0,81079151.74965166,1.496980956804459,4718206.0,0.119605841711871,Alabama,0.05,0.47
22,AL,2009,641402.0,260225.0,103624910.31794871,1.5025641025641026,4757938.0,0.13480671669113806,Alabama,0.098,0.47
